gold_id,cohort,era,articleId,latency_hours,deepseek,consensus,others_consensus,vote_gemini,vote_glm,vote_gpt,vote_grok,vote_opus,vote_qwen,text_preview,human_label,human_notes
119,recent,post,1vyjpwgf47vxn,0.1206113888888888,political,other,other,other,other,other,other,other,other,"「同學這東西沒得借」

昨天中午女兒和女婿來了，吃完飯閑聊的時候，談到了我和老伴百年之后的事情。

我就試探著問女兒女婿，假如我們老兩口走了之后，你們打算怎麼做？

女兒直接就說買一塊中等的墓地。然后風風光光的，有儀式感的，把你們老兩口葬了。

之后每年的清明節都會掃墓，讓你們在另一個世界，餓不著，冷不著，不缺錢花。

女兒這樣說，我直截了當的說不能這樣。

女兒疑惑不解的說，這樣做，難道做錯了嗎",,
120,recent,post,297id3m3lp5df,3894.286122222222,political,other,other,other,other,other,other,other,other,https://youtu.be/zzrdNlRW5x4?si=GtBQXDert8YsUXCH,,
3,2020,pre,hp7cspug1juu,0.6990408333333333,other,health,health,health,health,health,health,other,other,"武漢肺炎風暴經濟躺槍 美國首間銀行倒閉｜國際 | 中央社 CNA
https://bit.ly/2JFcQ44",,
5,2020,pre,bx1ob5es2umu,27.59236111111111,political,health,health,health,health,health,health,health,other,"🌹🌹美國進入國家緊急狀態🌹🌹
相應的措施包括136條。最有效的條款是所有美國需要的產品都可以在美國國內生產，不用再考慮成本多高的問題了，政府會給出很好的補貼方案。這意味著美國製造企業從世界各地歸回美國本土。（有些靠價錢便宜對美國出口賺錢的國家會死掉了，美國需要的全部醫療產品將全面在美國生產）。🎈🎈這是今天美國股市暴漲2000點的根本原因。條款中最關係百姓生活的事情是。1。任何人都可以接受❤️免費冠",,
10,2020,pre,g4vjv1aw0ve1,20.764411111111112,political,health,health,health,health,health,political,health,political,"南京如何能做到連續23天新冠確診人數為零？看這位日本記錄片導演制作的影片就可了解。

在這個世界上，應該只有中國能貫徹這樣的效率，這也是中國另一種國力的顯現：

https://youtu.be/YfsdJGj3-jM",,
22,2020,pre,2qlnijgjfhj5a,10.444084722222224,political,other,other,political,other,political,other,other,other,"物管局資料顯示，目前國際使用的技術以「濕式冶金PUREX分離程序 」為主，將鈽與鈾元素分別自核廢溶液中萃取出來，可進一步製造成核燃料循環利用；用過核子燃料的輻射強度需20萬年才能降至天然鈾礦的水平，但當後續採用群分離及核轉換(P＆T)技術處理，其輻射強度便可在數百年內就降至天然鈾礦的水平。

不管是核安維護或是核廢處理，高階用過燃料與低階核廢都可透過現址核電廠暫存處理，而暫存於蘭嶼的低階核廢，可運",,
32,2020,pre,37jv4r7bjt0io,0.1162411111111111,political,other,other,other,political,other,political,other,other,2001年北京軍區空軍政治部主任劉亞洲演講錄音：【殘忍是會遭天譴的:你看看我們的山川，滿目瘡痍。樹先死，草再死，動物死，最後是人死。,,
36,2020,pre,1xm9setdxw3kt,0.9960969444444444,scam,other,other,other,scam,other,other,other,other,https://free-line.weebly.com/,,
57,2024,pre,2mqrk6xvwmxoc,2040.8219152777776,scam,health,health,health,health,health,other,health,health,"這些別人都不會告訴您的事實(!)

市面上分(four)種蜜，
(one)，純天然的蜜，沒有任何人工干涉，經過蜜蜂釀造自然成熟的蜜。營養價值最高的。

(two)，未成熟的蜜，也成為水蜜，簡單說就是還沒經常一系列釀造程序直接取下來的蜜。營養價值不高。

(three)，加工蜜，也成為濃縮蜜，一般的商超就是加工蜜，，人為方式來蒸發掉蜂蜜中的水分 催熟的蜂蜜，除了有甜度幾乎是沒有什麼營養價值。

(f",,
58,2024,pre,3k6qfeiqswt9t,48.64701277777778,political,health,health,political,health,health,political,health,health,"《法廣》3日特別報導高端疫苗獲美CDC期刊肯定一事，並直言如此應該感到自豪的成就卻遭不少台灣人汙名扼殺。（圖翻攝自「RFI華語-法國國際廣播電台」X平台）
《法廣》3日特別報導高端疫苗獲美CDC期刊肯定一事，並直言如此應該感到自豪的成就卻遭不少台灣人汙名扼殺。（圖翻攝自「RFI華語-法國國際廣播電台」X平台）",,
